date,data
10/04/2023,287.034241
11/04/2023,280.527618
12/04/2023,281.182251
13/04/2023,287.48053
14/04/2023,283.810699
17/04/2023,286.449036
18/04/2023,286.022491
19/04/2023,286.101898
20/04/2023,283.780914
21/04/2023,283.433777
24/04/2023,279.476227
25/04/2023,273.177979
26/04/2023,292.965576
27/04/2023,302.348511
28/04/2023,304.758759
01/05/2023,303.072601
02/05/2023,302.923798
03/05/2023,301.922058
04/05/2023,302.923798
05/05/2023,308.121185
08/05/2023,306.137421
09/05/2023,304.500885
10/05/2023,309.767639
11/05/2023,307.58551
12/05/2023,306.454834
15/05/2023,306.940826
16/05/2023,309.202301
17/05/2023,312.124725
18/05/2023,316.617706
19/05/2023,316.438782
22/05/2023,319.261871
23/05/2023,313.377228
24/05/2023,311.975616
25/05/2023,323.973541
26/05/2023,330.901886
30/05/2023,329.231964
31/05/2023,326.428802
01/06/2023,330.59375
02/06/2023,333.396942
05/06/2023,333.933716
06/06/2023,331.687195
07/06/2023,321.44873
08/06/2023,323.317505
09/06/2023,324.838348
12/06/2023,329.868103
13/06/2023,332.293579
14/06/2023,335.325317
15/06/2023,346.021057
16/06/2023,340.285492
20/06/2023,336.031067
21/06/2023,331.567902
22/06/2023,337.681183
23/06/2023,333.019196
26/06/2023,326.637543
27/06/2023,332.571869
28/06/2023,333.844238
29/06/2023,333.049011
30/06/2023,338.506256
03/07/2023,335.971436
05/07/2023,336.130493
06/07/2023,339.231812
07/07/2023,335.206024
10/07/2023,329.848236
11/07/2023,330.484406
12/07/2023,335.186218
13/07/2023,340.613556
14/07/2023,343.178131
17/07/2023,343.665253
18/07/2023,357.343018
19/07/2023,352.959351
20/07/2023,344.798401
21/07/2023,341.716919
24/07/2023,343.04892
25/07/2023,348.883881
26/07/2023,335.752747
27/07/2023,328.744873
28/07/2023,336.349182
31/07/2023,333.913818
01/08/2023,334.331299
02/08/2023,325.544098
03/08/2023,324.709106
04/08/2023,325.822418
07/08/2023,328.138519
08/08/2023,324.102753
09/08/2023,320.305573
10/08/2023,321.001404
11/08/2023,319.092865
14/08/2023,322.104797
15/08/2023,319.937775
16/08/2023,319.160797
17/08/2023,315.654449
18/08/2023,315.255981
21/08/2023,320.635071
22/08/2023,321.21283
23/08/2023,325.735291
24/08/2023,318.732483
25/08/2023,321.730835
28/08/2023,322.448059
29/08/2023,327.139832
30/08/2023,327.518341
31/08/2023,326.492371
01/09/2023,327.388855
05/09/2023,332.259918
06/09/2023,331.59256
07/09/2023,328.634033
08/09/2023,332.977142
11/09/2023,336.632965
12/09/2023,330.486816
13/09/2023,334.760254
14/09/2023,337.390045
15/09/2023,328.942841
18/09/2023,327.787323
19/09/2023,327.378906
20/09/2023,319.529358
21/09/2023,318.294159
22/09/2023,315.783936
25/09/2023,316.31189
26/09/2023,310.93277
27/09/2023,311.580231
28/09/2023,312.426971
29/09/2023,314.528778
02/10/2023,320.555389
03/10/2023,312.177948
04/10/2023,317.726379
05/10/2023,318.124817
